,region,y,h,result
0,0.0,12.037454011884735,10.950714306409916,-0.09364065792616927
1,0.0,12.07319939418114,10.598658484197037,-0.013401930958886865
2,0.0,12.015601864044244,10.155994520336202,-0.014982302860977015
3,0.0,12.00580836121682,10.866176145774936,-0.11462551280768807
4,0.0,12.06011150117432,10.708072577796043,-0.04032712472983491
5,0.0,12.00205844942958,10.969909852161994,-0.13147308867000795
6,0.0,12.083244264080042,10.212339110678275,-0.1365452234594109
7,0.0,12.01818249672071,10.183404509853434,-0.015874269356658033
8,0.0,12.030424224295954,10.524756431632238,-0.0468468604601977
9,0.0,12.043194501864212,10.29122914019804,-0.0045122168286706454
10,1.0,12.061185289472238,11.139493860652042,-0.09371729031435727
11,1.0,12.029214464853522,11.366361843293692,-0.15429203646900547
12,1.0,12.045606998421704,11.785175961393014,-0.0004940129307158259
13,1.0,12.019967378215837,11.514234438413611,-0.18215998271938894
14,1.0,12.059241456886204,11.046450412719995,-0.08392605609964754
15,1.0,12.060754485190143,11.170524123687292,-0.09806092742811678
16,1.0,12.006505159298529,11.948885537253334,-0.058773915142953825
17,1.0,12.096563203307456,11.80839734811646,-0.14252495236179996
18,1.0,12.030461376917335,11.097672114006384,-0.11917893215344755
19,1.0,12.068423302651215,11.440152493739602,-0.12435985775546854
20,2.0,12.012203823484478,12.49517691011127,-0.11689986926384854
21,2.0,12.003438852111522,12.909320402078782,-0.1739247903022143
22,2.0,12.025877998160002,12.66252228435398,-0.12273404352495021
23,2.0,12.03117110760894,12.52006802117781,-0.10082953347393442
24,2.0,12.054671027934328,12.184854455525526,-0.038184602755011454
25,2.0,12.096958462776456,12.775132823361115,-0.06474933197354815
26,2.0,12.09394989415642,12.894827350427647,-0.08169546230112701
27,2.0,12.059789997881108,12.921874235023116,-0.1190150484560828
28,2.0,12.008849250205191,12.195982862419145,-0.08532277391135423
29,2.0,12.004522728891054,12.325330330763263,-0.1047601010797301
30,3.0,12.038867728968947,13.271349031773896,-0.18057384953291944
31,3.0,12.082873750915192,13.356753326693587,-0.14646888748937492
