,y_lo,y_hi,h_lo,h_hi,result
120,12.6,12.7,10.0,11.0,unsafe
121,12.6,12.7,11.0,12.0,unsafe
122,12.6,12.7,12.0,13.0,unsafe
123,12.6,12.7,13.0,14.0,unsafe
124,12.6,12.7,14.0,15.0,unsafe
125,12.6,12.7,15.0,16.0,unsafe
126,12.6,12.7,16.0,17.0,unsafe
127,12.6,12.7,17.0,18.0,unsafe
128,12.6,12.7,18.0,19.0,unsafe
129,12.6,12.7,19.0,20.0,unsafe
130,12.6,12.7,20.0,21.0,unsafe
131,12.6,12.7,21.0,22.0,unsafe
132,12.6,12.7,22.0,23.0,unsafe
133,12.6,12.7,23.0,24.0,unsafe
134,12.6,12.7,24.0,25.0,unsafe
135,12.6,12.7,25.0,26.0,unsafe
136,12.6,12.7,26.0,27.0,unsafe
137,12.6,12.7,27.0,28.0,unsafe
138,12.6,12.7,28.0,29.0,unsafe
139,12.6,12.7,29.0,30.0,unsafe
140,12.7,12.8,10.0,11.0,unsafe
141,12.7,12.8,11.0,12.0,unsafe
142,12.7,12.8,12.0,13.0,unsafe
143,12.7,12.8,13.0,14.0,unsafe
144,12.7,12.8,14.0,15.0,unsafe
145,12.7,12.8,15.0,16.0,unsafe
146,12.7,12.8,16.0,17.0,unsafe
147,12.7,12.8,17.0,18.0,unsafe
148,12.7,12.8,18.0,19.0,unsafe
149,12.7,12.8,19.0,20.0,unsafe
150,12.7,12.8,20.0,21.0,unsafe
151,12.7,12.8,21.0,22.0,unsafe
152,12.7,12.8,22.0,23.0,unsafe
153,12.7,12.8,23.0,24.0,unsafe
154,12.7,12.8,24.0,25.0,unsafe
155,12.7,12.8,25.0,26.0,unsafe
156,12.7,12.8,26.0,27.0,unsafe
157,12.7,12.8,27.0,28.0,unsafe
158,12.7,12.8,28.0,29.0,unsafe
159,12.7,12.8,29.0,30.0,unsafe
160,12.8,12.9,10.0,11.0,unsafe
161,12.8,12.9,11.0,12.0,unsafe
162,12.8,12.9,12.0,13.0,unsafe
163,12.8,12.9,13.0,14.0,unsafe
164,12.8,12.9,14.0,15.0,unsafe
165,12.8,12.9,15.0,16.0,unsafe
166,12.8,12.9,16.0,17.0,unsafe
167,12.8,12.9,17.0,18.0,unsafe
168,12.8,12.9,18.0,19.0,unsafe
169,12.8,12.9,19.0,20.0,unsafe
170,12.8,12.9,20.0,21.0,unsafe
